Part Number ,Description ,Type,Supplier name ,UOM ,,
ING001564,Cheese Ricotta 1.5kg,FRESH,H&B Foods Limited,Kg,,
ING002034,Cheese Cheddar Red Grated 2kg,FRESH,H&B Foods Limited,Kg,,
ING000133,Cheese Cheddar Mild Grated 2kg,FRESH,H&B Foods Limited,Kg,,
ING000143,Cheese Cream Philadelphia 10kg,FRESH,H&B Foods Limited,Kg,,
ING000146,Cheese Vegetarian Italian Hard Grated 1kg,FRESH,H&B Foods Limited,Kg,,
ING000236,Pesto Green Nut Free 1kg,FRESH,H&B Foods Limited,Kg,,
ING000473,Tomato Semi Dried (Sundried)  Dell'Ami 1.15kg,FRESH,H&B Foods Limited,Kg,,
ING001262,Cheese Red Leicester Grated 2kg,FRESH,H&B Foods Limited,Kg,,
ING000018,"Oil Olive Extra Virgin 5ltr, Dellami",DRY,H&B Foods Limited,Kg,,
ING000084,Cheese Feta Greek Block 900gm,FRESH,H&B Foods Limited,Kg,,
ING002056,Marmalade Red Onion Comfy 1kg,FRESH,H&B Foods Limited ,Kg,,
ING002636,Chicken Kofta Balls 22-24gm ea (1c/s 300ea),FROZEN,Haloodies,Each,,
ING000063,Beef Mince Halal 1kg,MEAT,Haloodies,Kg,,
ING000793,Lamb Mince Halal UK RK kg,MEAT,Haloodies,Kg,,
ING001605,Chicken Thigh Diced 15-20mm Halal 1KG,MEAT,Haloodies,Kg,,
ING000339,Chicken Thigh Diced 20mm Halal UK RT,MEAT,Haloodies,Kg,,
ING000062,Beef Mince 90% VL Halal UK RT,MEAT,Haloodies,Kg,,
ING000089,Chicken Breast Diced 15-20MM Halal UK RT,MEAT,Haloodies,Kg,,
ING000341,Chicken Breast Ungraded no Inner Halal UK RT,MEAT,Haloodies,Kg,,
ING001063,Chicken Mince Halal 1KG,MEAT,Haloodies,Kg,,
ING001456,Chicken Breast Diced 15-20gm Halal UK RT,MEAT,Haloodies,Kg,,
ING002123,Chicken Breast Diced 15-20mm VAA,MEAT,Haloodies,Kg,,
ING001121,Chicken Breast Diced 20mm 1KG,MEAT,Haloodies,,,
ING002349,Chicken Thigh Diced 15-20mm VAA,FRESH,Haloodies,Kg,,
ING002625,Turkey Ballontine Cranberry and Orange Stuffing kg,MEAT,IMS ,Kg,,
ING002419,Lamb Shoulder Diced 25mm Pasture Grazed,MEAT,IMS Of Smithfield Ltd,Kg,,
ING002488,Paste Tomato Balah or Tropical Brand,AMBIENT,Indigo Food Service Limitied,Kg,,
ING002471,Salmon Fillet Skinless Pinned and Boned 120gm ea,FRESH,JCS,Each,,
PACK000438,Chicken Cacciatore with Sweet Potato Mash Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000440,Chipotle Chicken with Charred Corn & Brown Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
PACK000441,Spicy Panang Chicken Curry and Black Rice Sleeve MC,PACK,Jump Design and Print Limited,Each,,
